"entrevistado_id","entrevistado_nome","entrevistado_sexo","pesquisa_pergunta_id","pergunta_texto","resposta"
12,"Ana Clara Silva","F",30,"Qual é a sua faixa etária?","25-34 anos"
13,"Bruno Oliveira Santos","M",30,"Qual é a sua faixa etária?","18-24 anos"
14,"Carla Souza Lima","F",30,"Qual é a sua faixa etária?","35-44 anos"
15,"Diego Pereira Costa","M",30,"Qual é a sua faixa etária?","45-54 anos"
16,"Eduarda Fernandes Alves","F",30,"Qual é a sua faixa etária?","25-34 anos"
17,"Felipe Rocha Martins","M",30,"Qual é a sua faixa etária?","65 anos ou mais"
18,"Gabriela Lima Ferreira","F",30,"Qual é a sua faixa etária?","18-24 anos"
19,"Henrique Almeida Barbosa","M",30,"Qual é a sua faixa etária?","45-54 anos"
20,"Isabela Costa Ribeiro","F",30,"Qual é a sua faixa etária?","35-44 anos"
21,"João Pedro Mendes","M",30,"Qual é a sua faixa etária?","55-64 anos"
22,"Larissa Oliveira Souza","F",30,"Qual é a sua faixa etária?","18-24 anos"
23,"Marcos Vinícius Silva","M",30,"Qual é a sua faixa etária?","25-34 anos"
24,"Natália Pereira Gomes","F",30,"Qual é a sua faixa etária?","65 anos ou mais"
25,"Otávio Santos Lima","M",30,"Qual é a sua faixa etária?","45-54 anos"
26,"Patrícia Fernandes Rocha","F",30,"Qual é a sua faixa etária?","25-34 anos"
27,"Quirino Almeida Costa","M",30,"Qual é a sua faixa etária?","35-44 anos"
28,"Renata Lima Ferreira","F",30,"Qual é a sua faixa etária?","55-64 anos"
29,"Sérgio Oliveira Barbosa","M",30,"Qual é a sua faixa etária?","18-24 anos"
30,"Tatiane Costa Ribeiro","F",30,"Qual é a sua faixa etária?","45-54 anos"
31,"Ubirajara Mendes Silva","M",30,"Qual é a sua faixa etária?","25-34 anos"
32,"Valéria Oliveira Souza","F",30,"Qual é a sua faixa etária?","65 anos ou mais"
33,"Wagner Pereira Gomes","M",30,"Qual é a sua faixa etária?","18-24 anos"
34,"Xênia Santos Lima","F",30,"Qual é a sua faixa etária?","35-44 anos"
35,"Yuri Fernandes Rocha","M",30,"Qual é a sua faixa etária?","55-64 anos"
36,"Zuleica Almeida Costa","F",30,"Qual é a sua faixa etária?","45-54 anos"
37,"Alberto Lima Ferreira","M",30,"Qual é a sua faixa etária?","25-34 anos"
38,"Beatriz Oliveira Barbosa","F",30,"Qual é a sua faixa etária?","18-24 anos"
39,"Carlos Costa Ribeiro","M",30,"Qual é a sua faixa etária?","35-44 anos"
40,"Daniela Mendes Silva","F",30,"Qual é a sua faixa etária?","65 anos ou mais"
41,"Eduardo Oliveira Souza","M",30,"Qual é a sua faixa etária?","55-64 anos"
42,"Fernanda Pereira Gomes","F",30,"Qual é a sua faixa etária?","18-24 anos"
43,"Gustavo Santos Lima","M",30,"Qual é a sua faixa etária?","25-34 anos"
44,"Helena Fernandes Rocha","F",30,"Qual é a sua faixa etária?","35-44 anos"
45,"Igor Almeida Costa","M",30,"Qual é a sua faixa etária?","45-54 anos"
46,"Juliana Lima Ferreira","F",30,"Qual é a sua faixa etária?","65 anos ou mais"
47,"Kleber Nascimento Souza","M",30,"Qual é a sua faixa etária?","18-24 anos"
48,"Luana Carvalho Pinto","F",30,"Qual é a sua faixa etária?","25-34 anos"
49,"Marcelo Dias Almeida","M",30,"Qual é a sua faixa etária?","55-64 anos"
50,"Nathalia Gomes Ferreira","F",30,"Qual é a sua faixa etária?","35-44 anos"
51,"Otávio Ribeiro Costa","M",30,"Qual é a sua faixa etária?","45-54 anos"
52,"Patrícia Silva Lima","F",30,"Qual é a sua faixa etária?","18-24 anos"
53,"Quirino Souza Oliveira","M",30,"Qual é a sua faixa etária?","25-34 anos"
54,"Renata Almeida Santos","F",30,"Qual é a sua faixa etária?","55-64 anos"
55,"Sérgio Lima Pereira","M",30,"Qual é a sua faixa etária?","65 anos ou mais"
56,"Tatiane Costa Fernandes","F",30,"Qual é a sua faixa etária?","45-54 anos"
57,"Ubirajara Mendes Silva","M",30,"Qual é a sua faixa etária?","18-24 anos"
58,"Valéria Oliveira Souza","F",30,"Qual é a sua faixa etária?","35-44 anos"
59,"Wagner Pereira Gomes","M",30,"Qual é a sua faixa etária?","25-34 anos"
60,"Xênia Santos Lima","F",30,"Qual é a sua faixa etária?","55-64 anos"
61,"Yuri Fernandes Rocha","M",30,"Qual é a sua faixa etária?","18-24 anos"
12,"Ana Clara Silva","F",31,"Há quanto tempo você reside na ilha?","Menos de 1 ano"
13,"Bruno Oliveira Santos","M",31,"Há quanto tempo você reside na ilha?","1-5 anos"
14,"Carla Souza Lima","F",31,"Há quanto tempo você reside na ilha?","6-10 anos"
15,"Diego Pereira Costa","M",31,"Há quanto tempo você reside na ilha?","Mais de 10 anos"
16,"Eduarda Fernandes Alves","F",31,"Há quanto tempo você reside na ilha?","Menos de 1 ano"
17,"Felipe Rocha Martins","M",31,"Há quanto tempo você reside na ilha?","1-5 anos"
18,"Gabriela Lima Ferreira","F",31,"Há quanto tempo você reside na ilha?","6-10 anos"
19,"Henrique Almeida Barbosa","M",31,"Há quanto tempo você reside na ilha?","Mais de 10 anos"
20,"Isabela Costa Ribeiro","F",31,"Há quanto tempo você reside na ilha?","Menos de 1 ano"
21,"João Pedro Mendes","M",31,"Há quanto tempo você reside na ilha?","1-5 anos"
22,"Larissa Oliveira Souza","F",31,"Há quanto tempo você reside na ilha?","6-10 anos"
23,"Marcos Vinícius Silva","M",31,"Há quanto tempo você reside na ilha?","Mais de 10 anos"
24,"Natália Pereira Gomes","F",31,"Há quanto tempo você reside na ilha?","Menos de 1 ano"
25,"Otávio Santos Lima","M",31,"Há quanto tempo você reside na ilha?","1-5 anos"
26,"Patrícia Fernandes Rocha","F",31,"Há quanto tempo você reside na ilha?","6-10 anos"
27,"Quirino Almeida Costa","M",31,"Há quanto tempo você reside na ilha?","Mais de 10 anos"
28,"Renata Lima Ferreira","F",31,"Há quanto tempo você reside na ilha?","Menos de 1 ano"
29,"Sérgio Oliveira Barbosa","M",31,"Há quanto tempo você reside na ilha?","1-5 anos"
30,"Tatiane Costa Ribeiro","F",31,"Há quanto tempo você reside na ilha?","6-10 anos"
31,"Ubirajara Mendes Silva","M",31,"Há quanto tempo você reside na ilha?","Mais de 10 anos"
32,"Valéria Oliveira Souza","F",31,"Há quanto tempo você reside na ilha?","Menos de 1 ano"
33,"Wagner Pereira Gomes","M",31,"Há quanto tempo você reside na ilha?","1-5 anos"
34,"Xênia Santos Lima","F",31,"Há quanto tempo você reside na ilha?","6-10 anos"
35,"Yuri Fernandes Rocha","M",31,"Há quanto tempo você reside na ilha?","Mais de 10 anos"
36,"Zuleica Almeida Costa","F",31,"Há quanto tempo você reside na ilha?","Menos de 1 ano"
37,"Alberto Lima Ferreira","M",31,"Há quanto tempo você reside na ilha?","1-5 anos"
38,"Beatriz Oliveira Barbosa","F",31,"Há quanto tempo você reside na ilha?","6-10 anos"
39,"Carlos Costa Ribeiro","M",31,"Há quanto tempo você reside na ilha?","Mais de 10 anos"
40,"Daniela Mendes Silva","F",31,"Há quanto tempo você reside na ilha?","Menos de 1 ano"
41,"Eduardo Oliveira Souza","M",31,"Há quanto tempo você reside na ilha?","1-5 anos"
42,"Fernanda Pereira Gomes","F",31,"Há quanto tempo você reside na ilha?","6-10 anos"
43,"Gustavo Santos Lima","M",31,"Há quanto tempo você reside na ilha?","Mais de 10 anos"
44,"Helena Fernandes Rocha","F",31,"Há quanto tempo você reside na ilha?","Menos de 1 ano"
45,"Igor Almeida Costa","M",31,"Há quanto tempo você reside na ilha?","1-5 anos"
46,"Juliana Lima Ferreira","F",31,"Há quanto tempo você reside na ilha?","6-10 anos"
47,"Kleber Nascimento Souza","M",31,"Há quanto tempo você reside na ilha?","Mais de 10 anos"
48,"Luana Carvalho Pinto","F",31,"Há quanto tempo você reside na ilha?","Menos de 1 ano"
49,"Marcelo Dias Almeida","M",31,"Há quanto tempo você reside na ilha?","1-5 anos"
50,"Nathalia Gomes Ferreira","F",31,"Há quanto tempo você reside na ilha?","6-10 anos"
51,"Otávio Ribeiro Costa","M",31,"Há quanto tempo você reside na ilha?","Mais de 10 anos"
52,"Patrícia Silva Lima","F",31,"Há quanto tempo você reside na ilha?","Menos de 1 ano"
53,"Quirino Souza Oliveira","M",31,"Há quanto tempo você reside na ilha?","1-5 anos"
